Ward,Division,Address,latitude,longitude,Name,Building Accessibility,Parking Accessibility
58.0,28.0,BOWLER & HOFF STS,40.0887859622907,-75.0287391117241,ANNE FRANK SCHOOL,M,L
58.0,29.0,1400 SOUTHAMPTON RD,40.1191079919376,-74.996016030805,SOMERTON YOUTH CLUB,F,L
58.0,30.0,ROOSEVELT BLVD & CONWELL A,40.0888696895457,-75.0207732122305,VE    HAYES (CONWELL) REC CENTER,F,L
58.0,31.0,10400 ROOSEVELT BLV,40.0966253799202,-75.0144097238192,ST JOHN NEUMANN HOME,M,L
58.0,32.0,BUSTLETON AVE & TOMLINSON,40.1129990879108,-75.0230428300267,RD    LOESCHE SCHOOL,F,L
58.0,33.0,198 TOMLINSON RD,40.1193226452478,-75.0350153300296,SYNAGOGUE,M,L
58.0,34.0,198 TOMLINSON RD,40.1193226452478,-75.0350153300296,SYNAGOGUE,M,L
58.0,35.0,12003 BUSTLETON AVE,40.1218363468621,-75.0158606092581,SHALOM ARBOR HOUSE,F,L
58.0,36.0,BUSTLETON AVE & VERREE RD,40.1083258022394,-75.0263057923501,WASHINGTON HIGH SCHOOL,M,L
58.0,37.0,BUSTLETON AVE & TOMLINSON,40.1129990879108,-75.0230428300267,RD    LOESCHE SCHOOL,F,L
58.0,38.0,198 TOMLINSON RD,40.1193226452478,-75.0350153300296,SYNAGOGUE,M,L
58.0,39.0,13021 WORTHINGTON RD,40.1195104775578,-75.0052687477488,FELLOWSHIP BIBLE CHURCH,M,L
58.0,40.0,13073 BUSTLETON AVE,40.1261155170176,-75.0141388059593,SOMERTON METHODIST CHURCH,M,L
58.0,41.0,SOUTHAMPTON & WORTHINGTON,40.1239915616228,-75.0016720963033,RD    IMMANUEL LUTHERAN CHURCH,B,L
58.0,42.0,BOWLER & HOFF STS,40.0887859622907,-75.0287391117241,ANNE FRANK SCHOOL,M,L
58.0,43.0,BUSTLETON AVE & TOMLINSON,40.1129990879108,-75.0230428300267,RD    LOESCHE SCHOOL,F,L
58.0,44.0,9896 BUSTLETON AVE,40.0945362162057,-75.0313480123204,PAULS RUN,F,H
59.0,1.0,STENTON AVE & HAINES ST,40.055769490031,-75.1588904848371,M L KING HIGH SCHOOL,M,L
59.0,2.0,ARDLEIGH & HAINES ST,40.0514192962604,-75.1633745680599,AWBURY RECREATION CENTER,F,L
59.0,3.0,CHELTEN AVE & ARDLEIGH ST,40.0496653802419,-75.1605295793679,LONNIE YOUNG REC CTR SR BLDG,A,L
59.0,4.0,ARDLEIGH & HAINES STS,40.0514192962604,-75.1633745680599,AWBURY RECREATION CENTER,F,L
59.0,5.0,RITTENHOUSE & MC MAHON STS,40.0455153136406,-75.1681619795033,WATERVIEW RECREATION CENTER,A,L
59.0,6.0,5920 MORTON ST,40.0433298462686,-75.1732753017787,MORTON HOMES (PHA),M,L
59.0,7.0,5920 MORTON ST,40.0433298462686,-75.1732753017787,MORTON HOMES (PHA),M,L
59.0,8.0,5920 MORTON ST,40.0433298462686,-75.1732753017787,MORTON HOMES (PHA),M,L
59.0,9.0,RITTENHOUSE & MC MAHON STS,40.0455153136406,-75.1681619795033,WATERVIEW RECREATION CENTER,A,L
59.0,10.0,6320 CHEW AVE,40.0506838474509,-75.1744754702719,AWBURY VIEW APTS-BLDG 18,M,N
59.0,11.0,6320 CHEW AVE,40.0506838474509,-75.1744754702719,AWBURY VIEW APTS,M,N
59.0,12.0,MORTON & JOHNSON STS,40.0478004405744,-75.1802564715228,MALLERY RECREATION CENTER,F,L
59.0,13.0,MORTON & JOHNSON STS,40.0478004405744,-75.1802564715228,MALLERY RECREATION CENTER,F,L
59.0,14.0,MORTON & JOHNSON STS,40.0478004405744,-75.1802564715228,MALLERY RECREATION CENTER,F,L
59.0,15.0,6019 GERMANTOWN AVE,40.0402858275204,-75.1776356398528,FIRST UNITED METHODIST CHURCH,F,L
59.0,16.0,CHELTEN AVE & BAYNTON ST,40.0388488434587,-75.171619294983,FIRE ENGINE CO # 19,M,L
59.0,17.0,5700 WAYNE AVE,40.0318844882792,-75.1808049921694,MASTERY PICKETT CHARTER SCHOOL,M,H
59.0,18.0,WAYNE AVE & JOHNSON ST,40.0382334696039,-75.1900872020944,LINGELBACH SCHOOL,A,L
59.0,19.0,68 W CHELTEN AVE,40.0340596924543,-75.1760281282125,COLEMAN REGIONAL LIBRARY,M,N
59.0,20.0,5700 WAYNE AVE,40.0318844882792,-75.1808049921694,MASTERY PICKETT CHARTER SCHOOL,M,H
59.0,21.0,6300 GREENE ST,40.0387824508362,-75.1861819226368,STAPELEY RETIREMENT HOME,A,L
59.0,22.0,6019 GERMANTOWN AVE,40.0402858275204,-75.1776356398528,FIRST UNITED METHODIST CHURCH,F,L
59.0,23.0,21 W WASHINGTON LA,40.0429082121281,-75.1815488804216,GERMANTOWN MENNONITE CHURCH,M,L
