Ward,Division,Address,latitude,longitude,Name,Building Accessibility,Parking Accessibility
65.0,23.0,FRANKFORD AVE & LINDEN ST,40.0547486958463,-75.0047956843789,FIRE ENGINE CO # 46,M,L
66.0,1.0,12273 TOWNSEND ROAD,40.1022830037276,-74.9838777100281,LOCAL # 5 UNION HALL,M,H
66.0,2.0,10980 NORCOM RD,40.0988365446003,-74.9975082537463,NORCOM COMMUNITY CENTER,F,H
66.0,3.0,ACADEMY & TORREY RDS,40.0963936929882,-74.9710174763759,DECATUR SCHOOL,M,L
66.0,4.0,ACADEMY & TORREY RDS,40.0963936929882,-74.9710174763759,FITZPATRICK REC CENTER,F,L
66.0,5.0,2980 SOUTHAMPTON RD,40.1041910160399,-74.9849872952408,I B P A T  DC # 21 UNION HALL,M,L
66.0,6.0,3301 MECHANICSVILLE RD,40.1061746218152,-74.9670298480615,PARKWOOD YOUTH CENTER,F,L
66.0,7.0,10980 NORCOM RD,40.0988365446003,-74.9975082537463,NORCOM COMMUNITY CENTER,F,H
66.0,8.0,COMLY & THORNTON RDS,40.095779200867,-74.9912657892142,PALMER RECREATION CENTER,B,L
66.0,9.0,DUNKS FERRY & MECHANICSVIL,,,LE    JUNOD RECREATION CENTER,F,L
66.0,10.0,9699 ACADEMY ROAD,40.074042233576,-75.0017785002239,USA AUTO PARTS,M,L
66.0,11.0,11201 ACADEMY RD,40.0851296173427,-74.9881709472252,ARCHBISHOP RYAN HIGH SCHOOL,F,L
66.0,12.0,12273 TOWNSEND ROAD,40.1022830037276,-74.9838777100281,LOCAL # 5 UNION HALL,M,H
66.0,13.0,ACADEMY & TORREY RDS,40.0963936929882,-74.9710174763759,FITZPATRICK REC CENTER,F,L
66.0,14.0,DUNKSFERRY & MECHANICSVILL,40.1028099669908,-74.9666674990564,E RD  JUNOD RECREATION CENTER,F,L
66.0,15.0,11301 ACADEMY ROAD,40.0853569360869,-74.987088979414,ST MARTHA'S GYMNASIUM,M,L
66.0,16.0,ACADEMY & TORREY RDS,40.0963936929882,-74.9710174763759,FITZPATRICK REC CENTER,F,L
66.0,17.0,ACADEMY & COMLY RDS,40.0899073729412,-74.9841800740218,FIRE ENGINE CO # 22,R,L
66.0,18.0,9951 ACADEMY ROAD,40.0772426263441,-74.9991712089718,CANTERBURY COURT RENTAL OFFICE,M,L
66.0,19.0,3745 CLARENDEN RD,,,SETTLEMENT MUSIC SCHOOL,F,L
66.0,20.0,4150 WOODHAVEN RD,40.08363151734,-74.9689561685781,FAITH LUTHERAN CHURCH,R,L
66.0,21.0,3745 CLARENDEN RD,,,SETTLEMENT MUSIC SCHOOL,F,L
66.0,22.0,ACADEMY & TORREY RDS,40.0963936929882,-74.9710174763759,DECATUR SCHOOL,M,L
66.0,23.0,ACADEMY & TORREY RDS,40.0963936929882,-74.9710174763759,DECATUR SCHOOL,M,L
66.0,24.0,11099 KNIGHTS RD,40.0840867026539,-74.9732424991048,KATHARINE DREXEL LIBRARY,B,L
66.0,25.0,11024 KNIGHTS RD,40.0793137663784,-74.9786078451067,OUR LADY OF CALVARY SCHOOL,M,L
66.0,26.0,MORRELL & W CROWN AVE,40.071592041509,-74.9876691312384,HANCOCK SCHOOL,R,L
66.0,27.0,MORRELL & W CROWN AVE,40.071592041509,-74.9876691312384,HANCOCK SCHOOL,R,L
66.0,28.0,MORRELL & W CROWN AVE,40.071592041509,-74.9876691312384,HANCOCK SCHOOL,R,L
66.0,29.0,4101 CHALFONT DRIVE,40.0802589391751,-74.9760056782684,SCHOOL DISTRICT OFFICE,R,N
66.0,30.0,CHALFONT DR & DEERPATH LA,40.0789026681559,-74.9736151771507,CHALFONT RECREATION CENTER,F,L
66.0,31.0,RED LION & CALERA RDS,40.0794737423731,-74.9917616000528,PICARIELLO RECREATION CENTER,B,L
66.0,32.0,10851 CALERA RD,40.0810370859826,-74.9887022895005,NEW LIBERTY BELL YOUTH CLUB,M,L
66.0,33.0,CHALFONT DR & DEERPATH LA,40.0789026681559,-74.9736151771507,CHALFONT RECREATION CENTER,F,L
66.0,34.0,3301 MECHANICSVILLE RD,40.1061746218152,-74.9670298480615,PARKWOOD YOUTH CENTER,F,L
66.0,35.0,RED LION & CALERA RDS,40.0794737423731,-74.9917616000528,PICARIELLO RECREATION CENTER,B,L
66.0,36.0,HAWLEY & BROOKVIEW RDS,40.0808032273411,-74.9870271771234,LABRUM SCHOOL,R,L
66.0,37.0,RED LION & CALERA RDS,40.0794737423731,-74.9917616000528,PICARIELLO RECREATION CENTER,B,L
66.0,38.0,ACADEMY & TORREY RDS,40.0963936929882,-74.9710174763759,DECATUR SCHOOL,M,L
66.0,39.0,11080 KNIGHTS RD,40.0829569386485,-74.9754769762937,ST LUKES U C CHURCH,A,L
66.0,40.0,10851 CALERA RD,40.0810370859826,-74.9887022895005,NEW LIBERTY BELL YOUTH CLUB,M,L
66.0,41.0,3323 FAIRDALE RD,40.0963917050927,-74.9788538789129,RESIDENCE,B,N
66.0,42.0,11080 KNIGHTS RD,40.0829569386485,-74.9754769762937,ST LUKES U C CHURCH,A,L
66.0,43.0,CHALFONT DR & DEERPATH LA,40.0789026681559,-74.9736151771507,CHALFONT RECREATION CENTER,F,L
66.0,44.0,11099 KNIGHTS ROAD,40.0840867026539,-74.9732424991048,KATHARINE DREXEL LIBRARY,B,L
66.0,45.0,BROOKVIEW & HAWLEY RDS,40.0808032273411,-74.9870271771234,LABRUM SCHOOL,R,L
66.0,46.0,11024 KNIGHTS RD,40.0793137663784,-74.9786078451067,OUR LADY OF CALVARY SCHOOL,M,L
